vehicle_type,distance_miles,transport_type,quantity,flat_fee,per_mile_subtotal,base_price,after_market_uplift,calibration_factor_applied,after_calibration,enclosed_multiplier_applied,final_price,source_function
Van,1000,open,1,350,1354.5,1704.5,1840.86,0.6,1104.52,N/A,1104.52,src/components/quote-widget/quote-widget.customer.jsx:computeOpenBasePrice+calibrateMarketAvg (verbatim) | xref src/lib/price-engine.js:priceBreakdown
Van,1000,enclosed,1,350,1354.5,1704.5,1840.86,0.6,1104.52,1.3,1435.87,src/components/quote-widget/quote-widget.customer.jsx:computeOpenBasePrice+calibrateMarketAvg (verbatim) | xref src/lib/price-engine.js:priceBreakdown
Van,1500,open,1,350,1879.5,2229.5,2407.86,0.6,1444.72,N/A,1444.72,src/components/quote-widget/quote-widget.customer.jsx:computeOpenBasePrice+calibrateMarketAvg (verbatim) | xref src/lib/price-engine.js:priceBreakdown
Van,1500,enclosed,1,350,1879.5,2229.5,2407.86,0.6,1444.72,1.3,1878.13,src/components/quote-widget/quote-widget.customer.jsx:computeOpenBasePrice+calibrateMarketAvg (verbatim) | xref src/lib/price-engine.js:priceBreakdown
Minivan,50,open,1,150,0,150,162,1,162,N/A,162,src/components/quote-widget/quote-widget.customer.jsx:computeOpenBasePrice+calibrateMarketAvg (verbatim) | xref src/lib/price-engine.js:priceBreakdown
Minivan,50,enclosed,1,150,0,150,162,1,162,1.3,210.6,src/components/quote-widget/quote-widget.customer.jsx:computeOpenBasePrice+calibrateMarketAvg (verbatim) | xref src/lib/price-engine.js:priceBreakdown
Minivan,100,open,1,350,0,350,378,1,378,N/A,378,src/components/quote-widget/quote-widget.customer.jsx:computeOpenBasePrice+calibrateMarketAvg (verbatim) | xref src/lib/price-engine.js:priceBreakdown
Minivan,100,enclosed,1,350,0,350,378,1,378,1.3,491.4,src/components/quote-widget/quote-widget.customer.jsx:computeOpenBasePrice+calibrateMarketAvg (verbatim) | xref src/lib/price-engine.js:priceBreakdown
Minivan,150,open,1,350,94.5,444.5,480.06,0.95,456.06,N/A,456.06,src/components/quote-widget/quote-widget.customer.jsx:computeOpenBasePrice+calibrateMarketAvg (verbatim) | xref src/lib/price-engine.js:priceBreakdown
Minivan,150,enclosed,1,350,94.5,444.5,480.06,0.95,456.06,1.3,592.87,src/components/quote-widget/quote-widget.customer.jsx:computeOpenBasePrice+calibrateMarketAvg (verbatim) | xref src/lib/price-engine.js:priceBreakdown
Minivan,200,open,1,350,189,539,582.12,0.95,553.01,N/A,553.01,src/components/quote-widget/quote-widget.customer.jsx:computeOpenBasePrice+calibrateMarketAvg (verbatim) | xref src/lib/price-engine.js:priceBreakdown
Minivan,200,enclosed,1,350,189,539,582.12,0.95,553.01,1.3,718.92,src/components/quote-widget/quote-widget.customer.jsx:computeOpenBasePrice+calibrateMarketAvg (verbatim) | xref src/lib/price-engine.js:priceBreakdown
Minivan,300,open,1,350,367.5,717.5,774.9,0.85,658.67,N/A,658.67,src/components/quote-widget/quote-widget.customer.jsx:computeOpenBasePrice+calibrateMarketAvg (verbatim) | xref src/lib/price-engine.js:priceBreakdown
Minivan,300,enclosed,1,350,367.5,717.5,774.9,0.85,658.67,1.3,856.26,src/components/quote-widget/quote-widget.customer.jsx:computeOpenBasePrice+calibrateMarketAvg (verbatim) | xref src/lib/price-engine.js:priceBreakdown
Minivan,500,open,1,350,724.5,1074.5,1160.46,0.73,847.14,N/A,847.14,src/components/quote-widget/quote-widget.customer.jsx:computeOpenBasePrice+calibrateMarketAvg (verbatim) | xref src/lib/price-engine.js:priceBreakdown
Minivan,500,enclosed,1,350,724.5,1074.5,1160.46,0.73,847.14,1.3,1101.28,src/components/quote-widget/quote-widget.customer.jsx:computeOpenBasePrice+calibrateMarketAvg (verbatim) | xref src/lib/price-engine.js:priceBreakdown
Minivan,700,open,1,350,976.5,1326.5,1432.62,0.66,945.53,N/A,945.53,src/components/quote-widget/quote-widget.customer.jsx:computeOpenBasePrice+calibrateMarketAvg (verbatim) | xref src/lib/price-engine.js:priceBreakdown
